var_shortn,n_candidates,baseline_code,llm_answer,llm_code,candidates,ceiling,baseline,llm
hdlch,7,32289-1,NONE,NA,32289-1;56535-8;92764-0;14647-2;76022-3;47193-8;47194-6,FALSE,FALSE,FALSE
crp_hs,8,100713-7,30522-7,30522-7,100713-7;3437-1;35489-4;1988-5;30522-7;48499-8;2148-5;72271-0,TRUE,FALSE,TRUE
ust_trueb,15,20627-6,20627-6,20627-6,20627-6;13658-0;62487-4;3334-0;52960-2;19331-8;16225-5;3507-1;13641-6;19411-8;19359-9;16197-6;32065-5;19360-7;3397-7,TRUE,TRUE,TRUE
crea_u,4,14683-7,14683-7,14683-7,14683-7;30002-0;15046-6;14287-7,TRUE,TRUE,TRUE
alb_u,8,1754-1,1754-1,1754-1,1754-1;40857-5;6942-7;5577-2;14957-5;11218-5;53531-0;89999-7,TRUE,TRUE,TRUE
wbc,10,14196-0,26464-8,26464-8,14196-0;51634-4;26464-8;40665-2;60474-4;30446-9;49498-9;804-5;6690-2;748-4,TRUE,FALSE,TRUE
rbc,8,26453-1,26453-1,26453-1,26453-1;790-6;789-8;14196-0;40665-2;60474-4;58443-3;51585-8,TRUE,TRUE,TRUE
mcv,3,787-2,787-2,787-2,787-2;30428-7;51641-9,TRUE,TRUE,TRUE
rdw,4,30385-9,788-0,788-0,30385-9;51631-0;788-0;76138-7,TRUE,TRUE,TRUE
plt,14,26523-1,777-3,777-3,26523-1;777-3;30464-2;731-0;26474-7;49497-1;96354-6;97995-5;6863-5;778-1;732-8;30364-4;781-5;26515-7,TRUE,FALSE,TRUE
mpv,3,28542-9,32623-1,32623-1,28542-9;776-5;32623-1,TRUE,TRUE,TRUE
ne_pct_e,0,NA,3010-4,NA,NA,FALSE,FALSE,FALSE
ly_pct_e,0,NA,1871-0,NA,NA,FALSE,FALSE,FALSE
mo_pct_e,1,53126-9,NONE,NA,53126-9,FALSE,FALSE,FALSE
eo_pct_e,5,26450-7,26450-7,26450-7,26450-7;714-6;713-8;34913-4;33803-8,TRUE,TRUE,TRUE
ba_pct_e,3,30180-4,30180-4,30180-4,30180-4;707-0;706-2,TRUE,TRUE,TRUE
ne_e,8,26499-4,26499-4,26499-4,26499-4;753-4;751-8;26507-4;763-3;30229-9;30451-9;768-2,TRUE,TRUE,TRUE
ly_e,9,26474-7,732-8,732-8,26474-7;11130-2;732-8;731-0;30364-4;30114-3;30115-0;30446-9;748-4,TRUE,TRUE,FALSE
gfr_larsson_t,0,NA,48411-6,NA,NA,FALSE,FALSE,FALSE
ust_farb,3,5778-6,5778-6,5778-6,5778-6;50553-7;34533-0,TRUE,TRUE,TRUE
hct,12,20570-8,20570-8,20570-8,20570-8;31100-1;48703-3;4545-0;4544-3;16931-8;71833-8;41040-7;71691-0;2055-2;101122-0;59743-5,TRUE,TRUE,TRUE
hba1c,8,4548-4,4548-4,4548-4,4548-4;17856-6;17855-8;59261-8;4549-2;62388-4;4547-6;51196-4,TRUE,TRUE,TRUE
gfrmdrd,0,NA,43821-2,NA,NA,FALSE,FALSE,FALSE
gfrcapa,0,NA,48411-6,NA,NA,FALSE,FALSE,FALSE
gfr_ckdepi,15,69405-9,62238-1,62238-1,69405-9;50210-4;77147-7;48643-1;62238-1;50384-7;98979-8;88293-6;50044-7;94677-2;70969-1;102097-3;98980-6;48642-3;88294-4,TRUE,TRUE,TRUE
alat_s,5,1742-6,1742-6,1742-6,1742-6;77144-4;1743-4;48134-1;1744-2,TRUE,TRUE,TRUE
asat_s,4,1920-8,1920-8,1920-8,1920-8;30239-8;48136-6;88112-8,TRUE,TRUE,TRUE
alb_s,12,1751-7,1751-7,1751-7,1751-7;14338-8;101198-0;6793-4;2862-1;46130-1;2877-9;61151-7;61152-5;77148-5;5574-9;17318-7,TRUE,TRUE,TRUE
ferri,5,2276-4,2276-4,2276-4,2276-4;20567-4;57961-5;75632-0;3448-8,TRUE,TRUE,TRUE
ldlch,8,32289-1,39469-2,39469-2,32289-1;56535-8;22748-8;39469-2;69419-0;14647-2;96258-9;76022-3,TRUE,FALSE,FALSE
tsh,1,30567-2,NONE,NA,30567-2,FALSE,FALSE,FALSE
ft3,5,14930-2,14928-6,14928-6,14930-2;14928-6;14929-4;83126-3;83125-5,TRUE,FALSE,TRUE
ft4,7,14920-3,14920-3,14920-3,14920-3;14921-1;79608-6;70217-5;83121-4;83120-6;48352-9,TRUE,TRUE,TRUE
tpo_ak,3,60438-9,NONE,NA,60438-9;5396-7;7712-3,FALSE,FALSE,FALSE
ph_u,10,2756-5,2756-5,2756-5,2756-5;5803-2;78861-2;2758-1;21457-7;2759-9;3831-5;50560-2;16251-1;70210-0,TRUE,TRUE,TRUE
leuco_u,9,30405-5,30405-5,30405-5,30405-5;20408-1;24122-4;51487-7;58805-3;33768-3;53286-1;53281-2;53295-2,TRUE,TRUE,TRUE
nitri_u,7,32710-6,32710-6,32710-6,32710-6;5802-4;50558-6;32030-9;27133-8;12294-5;43195-7,TRUE,TRUE,TRUE
prot_u,5,2888-6,2888-6,2888-6,2888-6;5804-0;50561-0;39591-3;72784-2,TRUE,TRUE,TRUE
gluc_u,6,15076-3,15076-3,15076-3,15076-3;22705-8;59156-0;34311-1;50916-6;53114-5,TRUE,TRUE,TRUE
ket_u,4,22702-5,22702-5,22702-5,22702-5;59158-6;32291-7;25403-7,TRUE,TRUE,TRUE
ubg_u,5,34927-4,34927-4,34927-4,34927-4;34928-2;60025-4;2811-8;47118-5,TRUE,TRUE,TRUE
bili_u,4,70199-5,70199-5,70199-5,70199-5;41016-7;68367-2;34170-1,TRUE,TRUE,TRUE
ery_u,11,30391-7,30391-7,30391-7,30391-7;20409-9;799-7;798-9;57747-8;33666-9;53360-4;53295-2;53285-3;53281-2;50554-5,TRUE,TRUE,TRUE
hb_u,9,726-0,726-0,726-0,726-0;4636-7;49137-3;50559-4;2404-2;2641-9;3909-9;33349-2;33348-4,TRUE,TRUE,TRUE
