var_shortn,rank,component
ust_trueb,5,Iodine
crea_u,1,Creatinine
crea_u,2,Creatine
crea_u,3,Carnitine
crea_u,4,Gold/Creatinine
crea_u,5,Creatinine panel
alb_u,1,Albumin
alb_u,2,Prealbumin
alb_u,3,IgG/Albumin
alb_u,4,Aluminum
alb_u,5,Albumin given
wbc,1,Whole blood pediatric units given
wbc,2,Blood
wbc,3,von Willebrand factor Ag actual/Normal
wbc,4,Transfuse whole blood units
wbc,5,Complete blood count panel
rbc,1,Bladder cells
rbc,2,Red blood cell membrane evaluation panel
rbc,3,Round cells
rbc,4,Round Cells
rbc,5,Blister cells
mcv,1,Erythrocyte mean corpuscular volume
mcv,2,Human metapneumovirus RNA
mcv,3,Human Metapneumovirus RNA
mcv,4,Tacrolimus induced neutrophil Ab.IgM
mcv,5,Spinal muscular atrophy
rdw,1,Reticulocyte distribution width
rdw,2,Platelet dry mass distribution width
rdw,3,Platelet distribution width
rdw,4,Platelet component distribution width
rdw,5,Hemoglobin distribution width
plt,1,Platelets
plt,2,Platelet Ab
plt,3,Platelets given
plt,4,Platelets.large
plt,5,Platelets.small
mpv,1,Platelet mean volume
mpv,2,Mean platelet component
mpv,3,Mean platelet dry mass
mpv,4,Mean sphered cell volume
mpv,5,Delta aminolevulinate
ne_pct_e,1,Neutrophil Ab
ne_pct_e,2,Neutrophils.hypersegmented
ne_pct_e,3,Lutropin Ag
ne_pct_e,4,Neutrophil membrane Ab
ne_pct_e,5,Neutrophil membrane Ab.IgM
ly_pct_e,1,Lymphocyte Ab
ly_pct_e,2,Lymphocyte proliferation
ly_pct_e,3,Lymphocytes
ly_pct_e,4,Lymphocytes B
ly_pct_e,5,Lymphocytes assessment
mo_pct_e,1,Monocytes
mo_pct_e,2,Monocytes+Macrophages
mo_pct_e,3,Monocyte subsets panel
mo_pct_e,4,Monocytes+Macrophages/leukocytes
mo_pct_e,5,Monocytes+Macrophages/100 leukocytes
eo_pct_e,1,Eosinophils
eo_pct_e,2,Eosinophil derived neurotoxin
eo_pct_e,3,Eosinophil cationic protein
eo_pct_e,4,Eosinophil major basic protein Ag
eo_pct_e,5,Escherichia coli oppA gene
ba_pct_e,1,Basophils
ba_pct_e,2,Basophilic stippling
ba_pct_e,3,Basophilic stippling.coarse
ba_pct_e,4,Basophilic stippling.fine
ba_pct_e,5,Solenopsis richteri Ab.IgE
ne_e,1,Beta endorphin
ne_e,2,Cola nut basophil bound Ab
ne_e,3,Staphylococcus aureus enterotoxin
ne_e,4,Festuca elatior basophil bound Ab
ne_e,5,Fusobacterium necrophorum DNA
ly_e,1,Lymphocytes
ly_e,2,Lymphocytes B
ly_e,3,Lymphocytes.IgG
ly_e,4,Lymphocytes.IgA
ly_e,5,Lymphocytes.IgM
gfr_larsson_t,1,Mitogen stimulated gamma interferon
gfr_larsson_t,2,Molecular diagnostic overall interpretation
gfr_larsson_t,3,Microsatellite instability marker BAT25
gfr_larsson_t,4,Microsatellite instability marker BAT26
gfr_larsson_t,5,Microsatellite instability marker panel
ust_farb,1,Color
ust_farb,2,Color^1st tube
ust_farb,3,Color^2nd tube
ust_farb,4,Color^3rd tube
ust_farb,5,Color^4th tube
hct,1,Hematocrit
hct,2,Hematocrit/Hemoglobin
hct,3,Hematoporphyrin
hct,4,Metharbital
hct,5,Hepatocyte Ag
hba1c,1,Hemoglobin A1c
hba1c,2,Hemoglobin A
hba1c,3,Hemoglobin C
hba1c,4,Hemoglobin Ag
hba1c,5,Hemoglobin A2
gfrmdrd,1,Mitogen stimulated gamma interferon
gfrmdrd,2,Molecular diagnostic overall interpretation
gfrmdrd,3,Microsatellite instability marker BAT25
gfrmdrd,4,Microsatellite instability marker BAT26
gfrmdrd,5,Microsatellite instability marker panel
gfrcapa,1,Gemfibrozil
gfrcapa,2,PDGFR-beta Ag
gfrcapa,3,PDGFR-alpha Ag
gfrcapa,4,EGFR gene.c.2573T>G
gfrcapa,5,EGFR gene.c.2582T>A
gfr_ckdepi,1,Glomerular filtration rate/1.73 sq M
gfr_ckdepi,2,Glomerular filtration rate/1.73 sq M.predicted
gfr_ckdepi,3,Glomerular filtration rate/1.73 sq M.predicted.male
gfr_ckdepi,4,Glomerular filtration rate/1.73 sq M.predicted.black
gfr_ckdepi,5,Glomerular filtration rate/1.73 sq M.predicted.female
alat_s,1,Alanine aminotransferase
alat_s,2,Alanine aminotransferase.macromolecular
alat_s,3,Alanine aminotransferase/Aspartate aminotransferase
alat_s,4,Alanine aminopeptidase
alat_s,5,Alanine+Ethanolamine
asat_s,1,Aspartate aminotransferase
asat_s,2,Aspartate aminotransferase.macromolecular
asat_s,3,Aspartate aminotransferase/Alanine aminotransferase
asat_s,4,Aspartate/Creatinine
asat_s,5,Aspartate aminotransferase.macromolecular/Aspartate aminotransferase.total
alb_s,1,Albumin
alb_s,2,Prealbumin
alb_s,3,IgG/Albumin
alb_s,4,Aluminum
alb_s,5,Albumin given
ferri,1,Ferritin
ferri,2,Ergocristine
ferri,3,Etravirine
ferri,4,Periostin
ferri,5,Ferning
ldlch,1,Apolipoprotein B/Cholesterol.in LDL
ldlch,2,Apolipoprotein A-I/Cholesterol.in HDL
ldlch,3,"o,p'- Dichlorodiphenyldichloroethylene"
ldlch,4,Palmitoyl protein thioesterase
ldlch,5,Yersinia enterocolitica serotype
tsh,1,Thyroid stimulating immunoglobulins
tsh,2,Thyroid hormone uptake
tsh,3,Tiamulin
tsh,4,Thymic stromal lymphopoietin
tsh,5,Thyroid hormone binding ratio
ft3,1,Triiodothyronine
ft3,2,Triiodothyronine Ab
ft3,3,Tetrahydrogestrinone
ft3,4,Tetrahydrocortisone
ft3,5,Triiodothyronine.free
ft4,1,Reboxetine
ft4,2,Fenetylline
ft4,3,Resperine
ft4,4,Fenthion
ft4,5,2-Methyltyrosine
tpo_ak,1,Fatty acid oxidation
tpo_ak,2,Arthropod identified
tpo_ak,3,Total thyroxine binding capacity
tpo_ak,4,Providencia stuartii DNA
tpo_ak,5,Antithrombin
ph_u,1,pH
ph_u,2,Phenol
ph_u,3,Phorate
ph_u,4,Phenols
ph_u,5,Phytate
leuco_u,1,Urinalysis complete panel
leuco_u,2,Urinalysis panel
leuco_u,3,Urinalysis type of cast panel
leuco_u,4,Urinalysis type of crystal panel
leuco_u,5,Urinalysis specimen collection method
nitri_u,1,Nitrite
nitri_u,2,Nitrate
nitri_u,3,Amyl nitrite
nitri_u,4,Nicotinurate
nitri_u,5,Citrate
prot_u,1,Protein
prot_u,2,Protein C
prot_u,3,Protein S
prot_u,4,P63 protein
prot_u,5,Calprotectin
gluc_u,1,Glucose
gluc_u,2,Glucose.PO
gluc_u,3,Glucose.IV
gluc_u,4,Glucosidase
gluc_u,5,Glucosamine
ket_u,1,Ketones
ket_u,2,Acetone
ket_u,3,Estrone
ket_u,4,Ketamine
ket_u,5,Ethylone
ubg_u,1,Urobilinogen
ubg_u,2,Urobilin
ubg_u,3,Cryofibrinogen
ubg_u,4,Fibrinogen
ubg_u,5,Uridine
bili_u,1,Bilirubin
bili_u,2,Bilirubin casts
bili_u,3,Bilirubin/Total
bili_u,4,Bilirubin excess
bili_u,5,Bilirubin crystals
ery_u,1,Urinalysis type of crystal panel
ery_u,2,Urinalysis type of cast panel
ery_u,3,Transfuse cryoprecipitate units
ery_u,4,Urinalysis microscopic panel
ery_u,5,Urinalysis dipstick W Reflex Culture panel
hb_u,1,Hemoglobin
hb_u,2,Hemoglobin A
hb_u,3,Hemoglobin H
hb_u,4,Hemoglobin F
hb_u,5,Hemoglobin S
sg_u,1,Specific gravity
sg_u,2,Specific gravity^^adjusted to pH 7.4
sg_u,3,Specimen specific gravity acceptable
sg_u,4,Osmotic fragility
sg_u,5,Specimen type
