var_shortn,var_longn_eng,llm_answer,model,date
ba_pct_e,LAB: basophils (%),Basophils Percentage,qwen2.5:7b,2026-09-22
ne_e,LAB: neutrophils (absolute) (Gpt/l),Absolute Neutrophil Count,qwen2.5:7b,2026-09-22
ly_e,LAB: lymphocytes (absolute) (Gpt/l),Lymphocytes (absolute) (cells/µL),qwen2.5:7b,2026-09-22
gfr_larsson_t,LAB: GFR estimated (Larsson) (77.24*(cystatin**-1.2623)) (ml/min),Estimated Glomerular Filtration Rate,qwen2.5:7b,2026-09-22
ust_farb,LAB: (urine) urine color,Urine Color,qwen2.5:7b,2026-09-22
hct,LAB: haematocrit,Hematocrit,qwen2.5:7b,2026-09-22
hba1c,LAB: Hb A1c (%),Hemoglobin A1c,qwen2.5:7b,2026-09-22
gfrmdrd,"LAB: GFR estimated (MDRD) (ml/min/1,73qm)",Estimated Glomerular Filtration Rate (MDRD),qwen2.5:7b,2026-09-22
gfrcapa,"GFR (CAPA) (ml/min/1,73qm) calculated from cystatin",GFR (Cystatin C) (ml/min/1.73m²),qwen2.5:7b,2026-09-22
gfr_ckdepi,Glomerular filtration rate (CKD-EPI formula) (ml/min) calculated from creatinine,Glomerular Filtration Rate (CKD-EPI formula),qwen2.5:7b,2026-09-22
alat_s,LAB: alanine aminotransferase (ALAT/GPT) (µkatal/l),Alanine Aminotransferase (ALAT/GPT),qwen2.5:7b,2026-09-22
asat_s,LAB: aspartate aminotransferase (ASAT/GOT) (µkatal/l),Aspartate Aminotransferase (ASAT/GOT) (micromoles per liter),qwen2.5:7b,2026-09-22
alb_s,LAB: serum albumin (g/l),Serum Albumin Level,qwen2.5:7b,2026-09-22
ferri,Ferritin (µg/l),Ferritin (micrograms per liter),qwen2.5:7b,2026-09-22
ldlch,LAB: LDL-cholesterol (mmol/l),Low-Density Lipoprotein Cholesterol,qwen2.5:7b,2026-09-22
tsh,LAB: TSH/thyroid-stimulating hormone (mU/l),Thyroid-Stimulating Hormone Test,qwen2.5:7b,2026-09-22
ft3,"LAB: fT3/triiodothyronine, free (pmol/l)",Free Triiodothyronine,qwen2.5:7b,2026-09-22
ft4,"LAB: fT4/thyroxine, free (pmol/l)",Free Thyroxine,qwen2.5:7b,2026-09-22
tpo_ak,LAB: TPO-AK/anti-thyroid peroxidase antibody (U/ml),Anti-thyroid peroxidase antibody test,qwen2.5:7b,2026-09-22
ph_u,LAB: (urine) pH,Urine pH,qwen2.5:7b,2026-09-22
leuco_u,LAB: (urine) leukocytes (Zellen/µl),Urinalysis Leukocytes Count,qwen2.5:7b,2026-09-22
nitri_u,LAB: (urine) nitrite (pos/neg),Urine Nitrite Test,qwen2.5:7b,2026-09-22
prot_u,LAB: (urine) protein (g/l),Urine Protein Measurement,qwen2.5:7b,2026-09-22
gluc_u,LAB: (urine) glucose (mmol/l),Urine Glucose Measurement,qwen2.5:7b,2026-09-22
ket_u,LAB: (urine) ketone (mmol/l),Urine Ketone Measurement,qwen2.5:7b,2026-09-22
ubg_u,LAB: (urine) urobilinogen (µmol/l),Urobilinogen Urine Measurement,qwen2.5:7b,2026-09-22
bili_u,LAB: (urine) bilirubin (µmol/l),Urine Bilirubin Measurement,qwen2.5:7b,2026-09-22
ery_u,LAB: (urine) erythrocytes (/µl),Urinalysis with Erythrocytes Count,qwen2.5:7b,2026-09-22
hb_u,LAB: (urine) haemoglobin (mg/dl),Urine Hemoglobin,qwen2.5:7b,2026-09-22
sg_u,LAB: (urine) density (kg/l),Urine Specific Gravity,qwen2.5:7b,2026-09-22
