var_shortn,var_longn_eng,unit,specimen,query
ft4,"LAB: fT4/thyroxine, free (pmol/l)",(pmol/l),NA,"ft4/thyroxine, free"
tpo_ak,LAB: TPO-AK/anti-thyroid peroxidase antibody (U/ml),(u/ml),NA,tpo-ak/anti-thyroid peroxidase antibody
ph_u,LAB: (urine) pH,NA,urine,ph
leuco_u,LAB: (urine) leukocytes (Zellen/µl),(zellen/µl),urine,leukocytes
nitri_u,LAB: (urine) nitrite (pos/neg),(pos/neg),urine,nitrite
prot_u,LAB: (urine) protein (g/l),(g/l),urine,protein
gluc_u,LAB: (urine) glucose (mmol/l),(mmol/l),urine,glucose
ket_u,LAB: (urine) ketone (mmol/l),(mmol/l),urine,ketone
ubg_u,LAB: (urine) urobilinogen (µmol/l),(µmol/l),urine,urobilinogen
bili_u,LAB: (urine) bilirubin (µmol/l),(µmol/l),urine,bilirubin
ery_u,LAB: (urine) erythrocytes (/µl),(/µl),urine,erythrocytes
hb_u,LAB: (urine) haemoglobin (mg/dl),(mg/dl),urine,haemoglobin
sg_u,LAB: (urine) density (kg/l),(kg/l),urine,density
