var_shortn,query,llm_answer,text_top1,llm_top1,expert,text_ok,llm_ok
gfrcapa,gfr calculated from cystatin,GFR (Cystatin C) (ml/min/1.73m²),CFTR gene full mutation analysis,Gemfibrozil,Glomerular filtration rate/1.73 sq M.predicted,FALSE,FALSE
gfr_ckdepi,glomerular filtration rate calculated from creatinine,Glomerular Filtration Rate (CKD-EPI formula),Glomerular filtration rate/1.73 sq M.predicted.non black,Glomerular filtration rate/1.73 sq M,Glomerular filtration rate/1.73 sq M.predicted | Glomerular filtration rate/1.73 sq M.predicted.non black,TRUE,FALSE
alat_s,alanine aminotransferase,Alanine Aminotransferase (ALAT/GPT),Alanine aminotransferase,Alanine aminotransferase,Alanine aminotransferase,TRUE,TRUE
asat_s,aspartate aminotransferase,Aspartate Aminotransferase (ASAT/GOT) (micromoles per liter),Aspartate aminotransferase,Aspartate aminotransferase,Aspartate aminotransferase,TRUE,TRUE
alb_s,albumin,Serum Albumin Level,Albumin,Albumin,Albumin,TRUE,TRUE
ferri,ferritin,Ferritin (micrograms per liter),Ferritin,Ferritin,Ferritin,TRUE,TRUE
ldlch,ldl-cholesterol,Low-Density Lipoprotein Cholesterol,Cholesterol,Apolipoprotein B/Cholesterol.in LDL,Cholesterol.in LDL,FALSE,FALSE
tsh,tsh/thyroid-stimulating hormone,Thyroid-Stimulating Hormone Test,Tumor infiltrating lymphocytes,Thyroid hormone uptake,Thyrotropin,FALSE,FALSE
ft3,"ft3/triiodothyronine, free",Free Triiodothyronine,Triiodothyronine.free,Triiodothyronine,Triiodothyronine.free,TRUE,FALSE
ft4,"ft4/thyroxine, free",Free Thyroxine,Thyroxine.free,Reboxetine,Thyroxine.free,TRUE,FALSE
tpo_ak,tpo-ak/anti-thyroid peroxidase antibody,Anti-thyroid peroxidase antibody test,Hydantoin-5-propionate/Creatinine,Other fatty acid oxidation disorders,Thyroperoxidase Ab,FALSE,FALSE
ph_u,ph,Urine pH,pH,pH,pH,TRUE,TRUE
leuco_u,leukocytes,Urinalysis Leukocytes Count,Leukocytes,Urinalysis complete panel,Leukocytes,TRUE,FALSE
nitri_u,nitrite,Urine Nitrite Test,Nitrite,Nitrite,Nitrite,TRUE,TRUE
prot_u,protein,Urine Protein Measurement,Protein,Protein S,Protein,TRUE,FALSE
gluc_u,glucose,Urine Glucose Measurement,Glucose,Glucose,Glucose,TRUE,TRUE
ket_u,ketone,Urine Ketone Measurement,Ketones,Ketones,Ketones,TRUE,TRUE
ubg_u,urobilinogen,Urobilinogen Urine Measurement,Urobilinogen,Urobilinogen,Urobilinogen,TRUE,TRUE
bili_u,bilirubin,Urine Bilirubin Measurement,Bilirubin,Bilirubin casts,Bilirubin,TRUE,FALSE
ery_u,erythrocytes,Urinalysis with Erythrocytes Count,Erythrocytes,Urinalysis type of crystal panel,Erythrocytes,TRUE,FALSE
hb_u,haemoglobin,Urine Hemoglobin,Hemoglobin,Hemoglobin,Hemoglobin,TRUE,TRUE
sg_u,density,Urine Specific Gravity,Adenovirus type,Specific gravity,NA,FALSE,FALSE
